title,artist,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
"Hey, Soul Sister",Train,2.883495145631068,4.63265306122449,3.7628865979381443,4.862068965517242,1.4324324324324325,4.26530612244898,2.1448275862068966,1.7676767676767677,1.3333333333333333,4.353535353535353
Love The Way You Lie,Eminem,2.6893203883495147,4.795918367346939,4.092783505154639,4.793103448275862,3.810810810810811,3.6122448979591835,2.779310344827586,1.9696969696969697,2.916666666666667,4.313131313131313
TiK ToK,Kesha,3.3300970873786406,4.428571428571429,4.1340206185567006,4.931034482758621,2.5675675675675675,3.8979591836734695,1.910344827586207,1.404040404040404,2.166666666666667,4.232323232323232
Bad Romance,Lady Gaga,3.3106796116504853,4.755102040816327,3.88659793814433,4.862068965517242,1.4324324324324325,3.8979591836734695,3.220689655172414,1.0,1.3333333333333333,4.191919191919192
Just the Way You Are,Bruno Mars,3.116504854368932,4.428571428571429,3.6391752577319587,4.793103448275862,1.4864864864864864,2.7551020408163263,2.2,1.0808080808080809,1.3333333333333333,4.151515151515151
Baby,Justin Bieber,2.2621359223300974,4.5102040816326525,4.010309278350515,4.793103448275862,1.5945945945945947,3.204081632653061,2.103448275862069,1.1616161616161615,2.166666666666667,4.111111111111111
Dynamite,Taio Cruz,3.3300970873786406,4.183673469387755,4.092783505154639,4.862068965517242,1.2162162162162162,4.346938775510204,1.9517241379310346,1.0,1.75,4.111111111111111
Secrets,OneRepublic,3.8737864077669903,4.1020408163265305,3.1443298969072164,4.724137931034482,1.6486486486486487,2.5510204081632653,2.2551724137931037,1.2828282828282829,1.3333333333333333,4.111111111111111
Empire State of Mind (Part II) Broken Down,Alicia Keys,2.8058252427184467,2.510204081632653,2.979381443298969,4.586206896551724,1.6486486486486487,1.5714285714285714,2.1310344827586207,3.98989898989899,1.25,4.070707070707071
Only Girl (In The World),Rihanna,3.4466019417475726,3.938775510204082,4.257731958762887,4.862068965517242,1.3783783783783785,3.489795918367347,2.3931034482758617,1.5252525252525253,1.3333333333333333,3.9494949494949494
Club Can't Handle Me (feat. David Guetta),Flo Rida,3.4854368932038833,4.551020408163265,3.556701030927835,4.862068965517242,1.3243243243243243,2.9183673469387754,2.3931034482758617,1.121212121212121,1.25,3.9494949494949494
Marry You,Bruno Mars,3.8155339805825244,4.387755102040817,3.556701030927835,4.793103448275862,1.5405405405405406,2.9591836734693877,2.3241379310344827,2.333333333333333,1.3333333333333333,3.9494949494949494
Cooler Than Me - Single Mix,Mike Posner,3.5242718446601944,4.346938775510204,4.175257731958762,4.793103448275862,4.783783783783784,3.5714285714285716,2.089655172413793,1.7272727272727273,1.4166666666666667,3.9494949494949494
Telephone,Lady Gaga,3.3689320388349513,4.387755102040817,4.422680412371134,4.724137931034482,1.5945945945945947,3.8979591836734695,2.2,1.0404040404040404,1.3333333333333333,3.9494949494949494
Like A G6,Far East Movement,3.4271844660194173,4.428571428571429,2.8144329896907214,4.586206896551724,1.6486486486486487,4.183673469387755,2.1448275862068966,1.0404040404040404,4.75,3.909090909090909
OMG (feat. will.i.am),Usher,3.5242718446601944,4.061224489795919,4.216494845360825,4.724137931034482,2.945945945945946,2.3469387755102042,2.862068965517241,1.808080808080808,1.25,3.909090909090909
